bowler,avg_run_given_per_ball,avg_wic_per_ball,team
DL Chahar,1.2001879699248121,0.042293233082706744,CSK
TU Deshpande,1.470588235294118,0.014705882352941176,CSK
RA Jadeja,1.3481481481481479,0.044444444444444439,CSK
MM Ali,0.88095238095238093,0.0,CSK
M Theekshana,1.2967032967032963,0.065934065934065977,CSK
Akash Singh,1.5,0.0,CSK
I Sharma,1.0813688212927746,0.034220532319391657,DC
A Nortje,1.1757188498402562,0.047923322683706082,DC
AR Patel,1.1949541284403666,0.032110091743119275,DC
KK Ahmed,1.2676767676767682,0.042929292929292963,DC
L Ngidi,1.1323529411764701,0.058823529411764705,DC
Kuldeep Yadav,0.99999999999999978,0.0,DC
Shivam Mavi,1.2733118971061088,0.028938906752411606,GT
Rashid Khan,1.2105263157894739,0.0430622009569378,GT
Mohammed Shami,1.1462979482604811,0.03033006244424628,GT
AS Joseph,1.5750000000000002,0.025,GT
MM Sharma,1.2857142857142867,0.045566502463054159,GT
J Yadav,1.215686274509804,0.026143790849673214,GT
V Shankar,1.0,0.0,GT
R Tewatia,1.25,0.0,GT
TG Southee,1.203761755485893,0.03134796238244511,KKR
UT Yadav,1.157854984894259,0.04154078549848942,KKR
SP Narine,1.0443407234539106,0.029171528588098055,KKR
SN Thakur,1.3450184501845019,0.040590405904059067,KKR
LH Ferguson,1.271493212669683,0.067873303167420879,KKR
CV Varun,1.1191709844559585,0.031088082901554411,KKR
AD Russell,1.2263157894736847,0.047368421052631608,KKR
Harshit Rana,1.9166666666666667,0.083333333333333329,KKR
JD Unadkat,1.2039106145251406,0.034916201117318489,LSG
Avesh Khan,1.2877094972067031,0.044692737430167613,LSG
KH Pandya,1.1930294906166221,0.037533512064343182,LSG
MP Stoinis,1.518181818181819,0.054545454545454536,LSG
Ravi Bishnoi,1.0574712643678161,0.034482758620689655,LSG
PP Chawla,1.2109589041095885,0.049315068493150691,MI
JC Archer,0.82253521126760565,0.047887323943661977,MI
RP Meredith,1.2045454545454544,0.022727272727272735,MI
JP Behrendorff,1.4875000000000003,0.037500000000000006,MI
K Kartikeya,2.6666666666666665,0.16666666666666669,MI
K Rabada,1.228476821192054,0.044701986754966935,PBKS
Arshdeep Singh,1.1584699453551908,0.043715846994535519,PBKS
SM Curran,1.2130177514792893,0.026627218934911229,PBKS
RD Chahar,1.2388059701492538,0.044776119402985093,PBKS
R Dhawan,1.1523809523809523,0.0380952380952381,PBKS
LS Livingstone,0.83333333333333337,0.083333333333333329,PBKS
NT Ellis,1.096774193548387,0.0,PBKS
Harpreet Brar,1.5681818181818181,0.0,PBKS
Mohammed Siraj,1.3279220779220777,0.03409090909090913,RCB
Akash Deep,1.3870967741935483,0.064516129032258063,RCB
HV Patel,1.3288590604026849,0.036912751677852344,RCB
KV Sharma,1.1437500000000005,0.04374999999999999,RCB
FA Allen,1.6315789473684208,0.052631578947368432,RCB
TA Boult,1.1154201292705452,0.037857802400738716,RR
YS Chahal,1.3017902813299227,0.043478260869565237,RR
Sandeep Sharma,1.0848656294200854,0.03960396039603966,RR
R Ashwin,1.0349586016559322,0.04599816007359709,RR
JO Holder,1.3453453453453454,0.036036036036036022,RR
OC McCoy,1.1666666666666665,0.0,RR
A Zampa,0.4285714285714286,0.0,RR
B Kumar,0.92303433001107593,0.033222591362126269,SRH
T Natarajan,1.2686567164179106,0.054726368159203981,SRH
Kartik Tyagi,1.4565217391304355,0.028985507246376822,SRH
Umran Malik,2.3461538461538463,0.0,SRH
Fazalhaq Farooqi,0.84374999999999978,0.031250000000000014,SRH