batter,avg_run,avg_wic,team
DP Conway,1.118421052631579,0.039473684210526307,CSK
RD Gaikwad,1.0785123966942149,0.030991735537190077,CSK
AM Rahane,1.1154055525313018,0.035928143712574884,CSK
MS Dhoni,0.75641025641025628,0.025641025641025654,CSK
BA Stokes,1.2918918918918914,0.054054054054054022,CSK
MM Ali,1.220779220779221,0.045454545454545463,CSK
S Dube,0.71428571428571419,0.0,CSK
PP Shaw,1.4345616264294787,0.049555273189326572,DC
MK Pandey,1.1048387096774195,0.030241935483870962,DC
AR Patel,0.73333333333333339,0.066666666666666666,DC
DA Warner,1.3178506375227637,0.029599271402550104,DC
MR Marsh,1.3529411764705879,0.03529411764705883,DC
SN Khan,1.4423076923076923,0.0576923076923077,DC
WP Saha,1.2977303070761017,0.046728971962616807,GT
Shubman Gill,1.1744340878828214,0.0319573901464714,GT
DA Miller,0.878787878787879,0.0707070707070707,GT
HH Pandya,0.81578947368421073,0.026315789473684219,GT
V Shankar,0.62500000000000011,0.055555555555555587,GT
KS Bharat,1.0655737704918031,0.032786885245901641,GT
SP Narine,1.6624999999999994,0.085,KKR
RK Singh,1.2857142857142856,0.0,KKR
VR Iyer,1.1414141414141408,0.037037037037037028,KKR
N Rana,1.13125,0.03125,KKR
JJ Roy,1.16,0.051428571428571407,KKR
AD Russell,2.4117647058823528,0.058823529411764705,KKR
KH Pandya,1.5925925925925928,0.074074074074074084,LSG
KL Rahul,1.2241775057383328,0.022188217291507276,LSG
MP Stoinis,1.0408163265306123,0.040816326530612249,LSG
DJ Hooda,1.0000000000000002,0.011235955056179777,LSG
A Badoni,0.14285714285714285,0.14285714285714285,LSG
N Pooran,0.91891891891891908,0.1621621621621622,LSG
RG Sharma,1.1442577030812309,0.038515406162465023,MI
SA Yadav,1.361423220973782,0.026217228464419488,MI
Tilak Varma,0.70370370370370372,0.037037037037037035,MI
Ishan Kishan,1.1975308641975311,0.021164021164021166,MI
D Brevis,1.3541666666666665,0.041666666666666692,MI
Ramandeep Singh,0.5,0.0,MI
LS Livingstone,1.654320987654321,0.049382716049382713,PBKS
S Dhawan,1.1886295180722917,0.032379518072289226,PBKS
M Shahrukh Khan,1.25,0.0,PBKS
SM Curran,1.2830188679245287,0.056603773584905683,PBKS
JM Sharma,1.0,0.0,PBKS
F du Plessis,1.2489451476793252,0.029535864978902985,RCB
V Kohli,1.1350345560871868,0.032961190855927663,RCB
KD Karthik,0.95893719806763245,0.024154589371980683,RCB
GJ Maxwell,1.3011152416356877,0.063197026022304814,RCB
MK Lomror,1.0,0.071428571428571438,RCB
RM Patidar,1.0490196078431375,0.019607843137254909,RCB
Shahbaz Ahmed,0.93333333333333357,0.0,RCB
DJ Willey,0.5,0.0,RCB
JC Buttler,1.3945578231292521,0.029478458049886618,RR
SV Samson,1.1482758620689641,0.037931034482758606,RR
YBK Jaiswal,1.340659340659341,0.04395604395604398,RR
SO Hetmyer,1.0,0.037735849056603772,RR
R Parag,0.0,0.090909090909090912,RR
D Padikkal,1.1750465549348224,0.035381750465549387,RR
R Ashwin,1.0357142857142858,0.071428571428571466,RR
Abhishek Sharma,1.2900432900432903,0.034632034632034639,SRH
RA Tripathi,1.3763250883392233,0.040636042402826859,SRH
MA Agarwal,1.1746031746031749,0.048611111111111049,SRH
Washington Sundar,0.653846153846154,0.038461538461538471,SRH
AK Markram,0.69444444444444442,0.0,SRH
Abdul Samad,1.0,0.5,SRH